1331,1886_42
1331,1887_157
1331,1888_59
1331,1888_109
1331,1889_5
1331,189_30
1331,189_43
1331,1890_123
1331,1891_4
1331,1892_168
1331,1895_17
1331,1895_110
1331,1897_22
1331,1897_107
1331,1899_91
1331,19_106
1331,190_62
1331,1901_19
1331,1902_141
1331,1904_83
1331,1905_18
1331,1905_175
1331,1907_1
1331,1907_38
1331,1907_74
1331,1907_179
1331,1908_23
1331,1908_157
1331,191_127
1331,191_173
1331,1910_1
1331,1910_157
1331,1911_26
1331,1912_13
1331,1912_155
1331,1913_77
1331,1913_173
1331,1914_15
1331,1914_27
1331,1915_112
1331,1915_191
1331,1916_146
1331,1918_40
1331,1918_100
1331,192_92
1331,192_176
1331,1920_149
1331,1920_162
1331,1921_124
1331,1922_154
1331,1923_45
1331,1923_47
1331,1923_123
1331,1923_180
1331,1924_26
1331,1924_59
1331,1924_139
1331,1925_26
1331,1927_12
1331,1927_96
1331,1927_136
1331,1928_104
1331,1928_117
1331,1929_29
1331,193_184
1331,1931_11
1331,1931_25
1331,1931_84
1331,1931_104
1331,1931_155
1331,1931_163
1331,1931_190
1331,1932_151
1331,1934_33
1331,1934_163
1331,1936_51
1331,1937_106
1331,194_69
1331,194_167
1331,1940_72
1331,1940_108
1331,1940_151
1331,1942_128
1331,1942_135
1331,1944_153
1331,1945_2
1331,1945_156
1331,1946_74
1331,1947_83
1331,1948_175
1331,1949_21
1331,195_60
1331,195_171
1331,1950_173
1331,1951_98
1331,1951_168
1331,1951_176
1331,1953_20
1331,1954_112
1331,1955_75
1331,1956_185
1331,1957_60
1331,196_5
1331,196_89
1331,1961_42
1331,1962_8
1331,1963_14
1331,1963_67
1331,1963_75
1331,1965_16
1331,1966_164
1331,1967_113
1331,197_5
1331,1971_86
1331,1972_103
1331,1972_178
1331,1973_81
1331,1973_147
1331,1973_178
1331,1974_101
1331,1976_122
1331,1976_124
1331,1978_137
1331,1981_67
1331,1981_84
1331,1983_72
1331,1983_148
1331,1983_153
1331,1985_112
1331,1986_23
1331,1986_143
1331,1987_21
1331,1988_5
1331,1988_33
1331,1989_20
1331,199_174
1331,1990_121
